"","Overall","Diagnosed","Non-Diagnosed","p","test","Missing"
"Diastolic_blood_pressure_mean (median [IQR])","82.00 [75.00, 88.50]","83.50 [76.50, 91.50]","82.00 [75.00, 88.50]","0.080","nonnorm","0.1"
"Hypertension_sum = Yes (%)","3924 (35.1)","65 (69.9)","3859 (34.8)","<0.001","","0.0"
"Diabetes_sum = Yes (%)","1082 (9.7)","23 (24.7)","1059 (9.5)","<0.001","","0.0"
"Ever_Smoked_sum = Yes (%)","4597 (41.1)","51 (54.8)","4546 (41.0)","0.009","","0.0"
"Obesity_sum = Yes (%)","440 (3.9)","13 (14.0)","427 (3.8)","<0.001","","0.0"
"Hypercholesterolaemia_sum = Yes (%)","2746 (24.5)","38 (40.9)","2708 (24.4)","<0.001","","0.0"
"Family_Heart_Disease_sum = Yes (%)","4880 (43.6)","37 (39.8)","4843 (43.7)","0.520","","0.0"
"Cardiac_Problem_sum = Yes (%)","48 (0.4)","3 (3.2)","45 (0.4)","0.001","","0.0"
"Heart_Failure_sum = Yes (%)","197 (1.8)","77 (82.8)","120 (1.1)","<0.001","","0.0"
"Cardiomyopathy_sum = Yes (%)","43 (0.4)","29 (31.2)","14 (0.1)","<0.001","","0.0"
"HCM_sum = Yes (%)","13 (0.1)","10 (10.8)","3 (0.0)","<0.001","","0.0"
"DCM_sum = Yes (%)","16 (0.1)","9 (9.7)","7 (0.1)","<0.001","","0.0"
"Ventricular_arrhythmias_sum = Yes (%)","37 (0.3)","3 (3.2)","34 (0.3)","<0.001","","0.0"
"Atrial_arrhythmias_sum = Yes (%)","209 (1.9)","19 (20.4)","190 (1.7)","<0.001","","0.0"
"Chronic_ischaemic_heart_disease_sum = Yes (%)","810 (7.2)","0 (0.0)","810 (7.3)","0.012","","0.0"
"Acute_Myocardial_infarction_sum = Yes (%)","335 (3.0)","1 (1.1)","334 (3.0)","0.433","","0.0"
"Cardiac_arrest_sum = Yes (%)","35 (0.3)","1 (1.1)","34 (0.3)","0.697","","0.0"
"Conduction_disorders_sum = Yes (%)","173 (1.5)","12 (12.9)","161 (1.5)","<0.001","","0.0"
"Valvular_disease_sum = Yes (%)","265 (2.4)","25 (26.9)","240 (2.2)","<0.001","","0.0"
"Congenital_heart_disease_sum = Yes (%)","32 (0.3)","3 (3.2)","29 (0.3)","<0.001","","0.0"
"Pulmonary_obstructive_disease_sum = Yes (%)","551 (4.9)","25 (26.9)","526 (4.7)","<0.001","","0.0"
"Heart_Arrhythmia_sum = Yes (%)","57 (0.5)","2 (2.2)","55 (0.5)","0.133","","0.0"
"Angina_sum = Yes (%)","343 (3.1)","2 (2.2)","341 (3.1)","0.832","","0.0"
"Cardiovascular_Death_sum = Yes (%)","201 (1.8)","13 (14.0)","188 (1.7)","<0.001","","0.0"
"All_cause_mortality_sum = Yes (%)","568 (5.1)","27 (29.0)","541 (4.9)","<0.001","","0.0"
"ECG_heart_rate.0_mean (median [IQR])","94.78 [85.08, 104.48]","91.40 [76.79, 99.42]","94.79 [85.12, 104.53]","0.089","nonnorm","72.8"
"P_duration (median [IQR])","100.00 [90.00, 108.00]","101.00 [86.00, 117.00]","100.00 [90.00, 108.00]","0.759","nonnorm","90.0"
"P_axis.2.0 (median [IQR])","54.50 [40.00, 67.00]","60.00 [53.50, 66.50]","54.50 [40.00, 66.75]","0.548","nonnorm","93.1"
"PQ_interval.2.0 (median [IQR])","160.00 [146.00, 178.00]","179.00 [174.50, 183.50]","160.00 [146.00, 178.00]","0.206","nonnorm","93.2"
"QRS_duration (median [IQR])","86.00 [80.00, 94.00]","96.00 [90.00, 98.00]","86.00 [80.00, 94.00]","0.072","nonnorm","89.6"
"R_axis.2.0 (median [IQR])","33.00 [7.00, 57.00]","-51.00 [-52.50, -49.50]","33.00 [7.00, 57.00]","0.016","nonnorm","92.9"
"QTC_interval.2.0 (median [IQR])","417.00 [402.00, 432.75]","469.00 [448.00, 490.00]","417.00 [402.00, 432.25]","0.108","nonnorm","92.9"
"T_axis.2.0 (median [IQR])","40.00 [23.00, 55.00]","83.50 [79.25, 87.75]","40.00 [22.75, 55.00]","0.030","nonnorm","92.9"
"RVEDV (median [IQR])","149.77 [124.53, 175.93]","184.26 [173.98, 194.53]","149.77 [124.51, 175.91]","0.187","nonnorm","91.1"
"RVEDVi (median [IQR])","80.57 [70.68, 90.37]","92.27 [86.57, 97.97]","80.57 [70.64, 90.34]","0.297","nonnorm","91.1"
"RVEF (median [IQR])","58.30 [54.06, 62.56]","63.53 [58.50, 68.56]","58.30 [54.06, 62.56]","0.612","nonnorm","91.1"
"RVESV (median [IQR])","62.65 [48.47, 77.22]","69.26 [56.24, 82.28]","62.65 [48.53, 77.21]","0.868","nonnorm","91.1"
"RVESVi (median [IQR])","33.08 [27.66, 40.00]","34.80 [28.07, 41.52]","33.08 [27.66, 39.97]","0.970","nonnorm","91.1"
"RVPAFR (median [IQR])","281.95 [220.62, 358.88]","533.63 [526.58, 540.68]","281.42 [220.43, 356.15]","0.018","nonnorm","91.1"
"RVPER (median [IQR])","390.92 [317.46, 465.92]","523.79 [485.17, 562.41]","390.30 [317.44, 465.72]","0.107","nonnorm","91.1"
"RVPFR (median [IQR])","301.64 [245.89, 365.81]","323.04 [297.93, 348.14]","301.64 [245.88, 365.64]","0.714","nonnorm","91.1"
"RVSV (median [IQR])","85.84 [73.04, 101.67]","115.00 [112.25, 117.74]","85.82 [72.99, 101.46]","0.060","nonnorm","91.1"
"RVSVi (median [IQR])","46.74 [41.12, 52.98]","57.47 [56.45, 58.50]","46.67 [41.11, 52.94]","0.065","nonnorm","91.1"
"LVEDV/RVEDV (median [IQR])","0.93 [0.86, 1.03]","1.06 [0.99, 1.12]","0.93 [0.86, 1.03]","0.258","nonnorm","92.3"
"LV_RV_ESV (median [IQR])","0.90 [0.80, 1.03]","1.04 [0.98, 1.09]","0.90 [0.80, 1.03]","0.310","nonnorm","92.3"
"LVEDM (median [IQR])","78.02 [63.70, 95.58]","117.81 [112.33, 123.30]","78.01 [63.64, 95.35]","0.046","nonnorm","92.3"
"LVMVR (median [IQR])","0.56 [0.50, 0.63]","0.62 [0.57, 0.66]","0.56 [0.50, 0.63]","0.487","nonnorm","92.3"
"LVEDMi (median [IQR])","42.01 [36.79, 49.02]","58.98 [55.88, 62.09]","42.01 [36.79, 48.95]","0.040","nonnorm","92.3"
"LVEDV (median [IQR])","138.96 [117.84, 162.06]","197.10 [174.93, 219.28]","138.72 [117.82, 162.06]","0.113","nonnorm","92.3"
"LVEDVi (median [IQR])","74.54 [66.43, 84.07]","98.84 [87.15, 110.53]","74.49 [66.43, 84.06]","0.204","nonnorm","92.3"
"LVEF (median [IQR])","59.52 [55.40, 63.62]","65.52 [64.53, 66.50]","59.52 [55.40, 63.62]","0.103","nonnorm","92.3"
"LVESV (median [IQR])","54.96 [44.84, 68.91]","68.84 [59.25, 78.43]","54.96 [44.74, 68.87]","0.494","nonnorm","92.3"
"LVESVi (median [IQR])","29.94 [25.07, 35.75]","34.54 [29.54, 39.55]","29.94 [25.07, 35.73]","0.711","nonnorm","92.3"
"LVPAFR (median [IQR])","233.41 [168.60, 303.01]","480.77 [436.22, 525.31]","232.32 [168.43, 302.49]","0.027","nonnorm","92.3"
"LVPER (median [IQR])","377.09 [304.58, 452.24]","437.22 [433.47, 440.97]","376.92 [304.38, 452.26]","0.301","nonnorm","92.3"
"LVPFR (median [IQR])","321.62 [260.89, 388.70]","524.02 [391.06, 656.99]","321.62 [260.89, 388.51]","0.552","nonnorm","92.3"
"LVSV (median [IQR])","82.03 [70.72, 95.55]","128.26 [115.68, 140.85]","82.01 [70.70, 95.46]","0.039","nonnorm","92.3"
"LVSVi (median [IQR])","44.35 [39.46, 50.09]","64.30 [57.61, 70.98]","44.28 [39.45, 50.08]","0.060","nonnorm","92.3"
"Global_wall_thickness (median [IQR])","3.37 [3.03, 3.66]","3.75 [3.62, 3.82]","3.37 [3.03, 3.66]","0.112","nonnorm","93.1"
"Wall_thickness_segment_1 (median [IQR])","4.04 [3.58, 4.53]","4.67 [3.50, 5.15]","4.04 [3.58, 4.52]","0.490","nonnorm","93.1"
"Wall_thickness_segment_2 (median [IQR])","3.58 [3.01, 4.22]","4.23 [3.54, 4.42]","3.58 [3.01, 4.21]","0.547","nonnorm","93.1"
"Wall_thickness_segment_3 (median [IQR])","3.22 [2.68, 3.71]","4.03 [3.46, 4.35]","3.22 [2.68, 3.71]","0.189","nonnorm","93.1"
"Wall_thickness_segment_4 (median [IQR])","3.50 [3.10, 3.88]","3.64 [3.51, 4.25]","3.50 [3.10, 3.88]","0.312","nonnorm","93.1"
"Wall_thickness_segment_5 (median [IQR])","3.31 [3.01, 3.71]","3.13 [2.59, 3.70]","3.31 [3.01, 3.71]","0.773","nonnorm","93.1"
"Wall_thickness_segment_6 (median [IQR])","3.50 [3.15, 3.90]","3.13 [2.59, 3.83]","3.50 [3.16, 3.90]","0.605","nonnorm","93.1"
"Wall_thickness_segment_7 (median [IQR])","3.07 [2.83, 3.38]","3.22 [2.70, 4.28]","3.07 [2.83, 3.38]","0.712","nonnorm","93.1"
"Wall_thickness_segment_8 (median [IQR])","3.75 [3.35, 4.14]","4.85 [4.20, 5.50]","3.75 [3.35, 4.14]","0.094","nonnorm","93.1"
"Wall_thickness_segment_9 (median [IQR])","3.92 [3.42, 4.41]","5.26 [4.30, 5.61]","3.91 [3.42, 4.40]","0.171","nonnorm","93.1"
"Wall_thickness_segment_10 (median [IQR])","3.33 [2.97, 3.73]","3.68 [3.12, 4.02]","3.33 [2.97, 3.73]","0.583","nonnorm","93.1"
"Wall_thickness_segment_11 (median [IQR])","3.02 [2.70, 3.38]","3.06 [2.75, 3.20]","3.02 [2.70, 3.38]","0.791","nonnorm","93.1"
"Wall_thickness_segment_12 (median [IQR])","3.02 [2.80, 3.33]","2.77 [2.75, 2.98]","3.02 [2.80, 3.34]","0.403","nonnorm","93.1"
"Wall_thickness_segment_13 (median [IQR])","2.94 [2.70, 3.17]","3.10 [3.08, 3.96]","2.94 [2.70, 3.17]","0.104","nonnorm","93.1"
"Wall_thickness_segment_14 (median [IQR])","3.21 [2.83, 3.56]","3.02 [2.88, 4.23]","3.21 [2.84, 3.56]","0.907","nonnorm","93.1"
"Wall_thickness_segment_15 (median [IQR])","2.70 [2.37, 3.03]","3.05 [2.63, 3.95]","2.70 [2.37, 3.03]","0.405","nonnorm","93.1"
"Wall_thickness_segment_16 (median [IQR])","2.81 [2.52, 3.08]","3.10 [2.92, 4.26]","2.81 [2.52, 3.07]","0.164","nonnorm","93.1"
"Septal_wall_thickness (median [IQR])","3.57 [3.13, 3.92]","4.40 [4.09, 4.47]","3.57 [3.13, 3.92]","0.037","nonnorm","93.1"
"CM = Controls (%)","11188 (100.0)","93 (100.0)","11095 (100.0)","NA","","0.0"
"Total_MET_minutes_per_week (median [IQR])","1,773.00 [800.00, 3,470.00]","1,426.00 [478.50, 3,630.00]","1,775.50 [805.12, 3,470.00]","0.451","nonnorm","20.2"
