"","Overall","Diagnosed","Non-Diagnosed","p","test","Missing"
"LVEDV (median [IQR])","155.09 [122.32, 168.91]","NA [NA, NA]","155.09 [122.32, 168.91]","NA","nonnorm","92.4"
"LVEDVi (median [IQR])","80.19 [72.60, 87.08]","NA [NA, NA]","80.19 [72.60, 87.08]","NA","nonnorm","92.4"
"LVEF (median [IQR])","58.11 [55.99, 65.31]","NA [NA, NA]","58.11 [55.99, 65.31]","NA","nonnorm","92.4"
"LVESV (median [IQR])","58.21 [49.12, 72.57]","NA [NA, NA]","58.21 [49.12, 72.57]","NA","nonnorm","92.4"
"LVESVi (median [IQR])","32.32 [27.87, 36.69]","NA [NA, NA]","32.32 [27.87, 36.69]","NA","nonnorm","92.4"
"LVPAFR (median [IQR])","211.19 [153.61, 271.38]","NA [NA, NA]","211.19 [153.61, 271.38]","NA","nonnorm","92.4"
"LVPER (median [IQR])","356.36 [297.03, 450.05]","NA [NA, NA]","356.36 [297.03, 450.05]","NA","nonnorm","92.4"
"LVPFR (median [IQR])","359.47 [277.49, 393.30]","NA [NA, NA]","359.47 [277.49, 393.30]","NA","nonnorm","92.4"
"LVSV (median [IQR])","83.59 [75.23, 104.70]","NA [NA, NA]","83.59 [75.23, 104.70]","NA","nonnorm","92.4"
"LVSVi (median [IQR])","45.87 [42.18, 50.22]","NA [NA, NA]","45.87 [42.18, 50.22]","NA","nonnorm","92.4"
"Wall_thickness_global (median [IQR])","3.24 [2.99, 3.44]","NA [NA, NA]","3.24 [2.99, 3.44]","NA","nonnorm","91.2"
"Wall_thickness_segment_1 (median [IQR])","3.76 [3.31, 4.62]","NA [NA, NA]","3.76 [3.31, 4.62]","NA","nonnorm","91.2"
"Wall_thickness_segment_2 (median [IQR])","3.50 [2.63, 4.06]","NA [NA, NA]","3.50 [2.63, 4.06]","NA","nonnorm","91.2"
"Wall_thickness_segment_3 (median [IQR])","2.87 [2.44, 3.52]","NA [NA, NA]","2.87 [2.44, 3.52]","NA","nonnorm","91.2"
"Wall_thickness_segment_4 (median [IQR])","3.26 [2.78, 3.53]","NA [NA, NA]","3.26 [2.78, 3.53]","NA","nonnorm","91.2"
"Wall_thickness_segment_5 (median [IQR])","3.19 [2.91, 3.39]","NA [NA, NA]","3.19 [2.91, 3.39]","NA","nonnorm","91.2"
"Wall_thickness_segment_6 (median [IQR])","3.45 [3.30, 3.70]","NA [NA, NA]","3.45 [3.30, 3.70]","NA","nonnorm","91.2"
"Wall_thickness_segment_7 (median [IQR])","2.98 [2.81, 3.16]","NA [NA, NA]","2.98 [2.81, 3.16]","NA","nonnorm","91.2"
"Wall_thickness_segment_8 (median [IQR])","3.71 [3.50, 3.90]","NA [NA, NA]","3.71 [3.50, 3.90]","NA","nonnorm","91.2"
"Wall_thickness_segment_9 (median [IQR])","3.68 [3.36, 4.09]","NA [NA, NA]","3.68 [3.36, 4.09]","NA","nonnorm","91.2"
"Wall_thickness_segment_10 (median [IQR])","3.09 [2.85, 3.33]","NA [NA, NA]","3.09 [2.85, 3.33]","NA","nonnorm","91.2"
"Wall_thickness_segment_11 (median [IQR])","2.86 [2.61, 3.14]","NA [NA, NA]","2.86 [2.61, 3.14]","NA","nonnorm","91.2"
"Wall_thickness_segment_12 (median [IQR])","2.94 [2.81, 3.25]","NA [NA, NA]","2.94 [2.81, 3.25]","NA","nonnorm","91.2"
"Wall_thickness_segment_13 (median [IQR])","2.90 [2.78, 3.04]","NA [NA, NA]","2.90 [2.78, 3.04]","NA","nonnorm","91.2"
"Wall_thickness_segment_14 (median [IQR])","3.24 [2.96, 3.49]","NA [NA, NA]","3.24 [2.96, 3.49]","NA","nonnorm","91.2"
"Wall_thickness_segment_15 (median [IQR])","2.78 [2.58, 2.96]","NA [NA, NA]","2.78 [2.58, 2.96]","NA","nonnorm","91.2"
"Wall_thickness_segment_16 (median [IQR])","2.84 [2.62, 2.99]","NA [NA, NA]","2.84 [2.62, 2.99]","NA","nonnorm","91.2"
"Septal_wall_thickness (median [IQR])","3.44 [3.06, 3.78]","NA [NA, NA]","3.44 [3.06, 3.78]","NA","nonnorm","91.2"
"CM = ACM (%)","249 (100.0)","9 (100.0)","240 (100.0)","NA","","0.0"
