"","ACM","Controls","DCM","HCM","p","test","Missing"
"Wall_thickness_segment_10 (median [IQR])","3.09 [2.85, 3.33]","3.34 [2.97, 3.72]","3.33 [2.98, 3.70]","3.33 [2.95, 3.76]","0.326","nonnorm","89.6"
"Wall_thickness_segment_11 (median [IQR])","2.86 [2.61, 3.14]","3.03 [2.71, 3.38]","3.00 [2.72, 3.22]","3.02 [2.66, 3.41]","0.254","nonnorm","89.6"
"Wall_thickness_segment_12 (median [IQR])","2.94 [2.81, 3.25]","3.02 [2.80, 3.33]","2.94 [2.76, 3.21]","3.02 [2.74, 3.31]","0.189","nonnorm","89.6"
"Wall_thickness_segment_13 (median [IQR])","2.90 [2.78, 3.04]","2.93 [2.70, 3.17]","2.90 [2.72, 3.11]","2.95 [2.72, 3.19]","0.713","nonnorm","89.6"
"Wall_thickness_segment_14 (median [IQR])","3.24 [2.96, 3.49]","3.21 [2.83, 3.56]","3.11 [2.86, 3.36]","3.16 [2.90, 3.50]","0.329","nonnorm","89.6"
"Wall_thickness_segment_15 (median [IQR])","2.78 [2.58, 2.96]","2.69 [2.38, 3.03]","2.58 [2.37, 2.89]","2.67 [2.38, 3.03]","0.437","nonnorm","89.6"
"Wall_thickness_segment_16 (median [IQR])","2.84 [2.62, 2.99]","2.81 [2.53, 3.07]","2.75 [2.55, 2.98]","2.80 [2.57, 3.04]","0.702","nonnorm","89.6"
"Septal_wall_thickness (median [IQR])","3.44 [3.06, 3.78]","3.58 [3.13, 3.92]","3.44 [3.23, 3.69]","3.52 [3.32, 4.07]","0.079","nonnorm","89.6"
"CM (%)","","","","","<0.001","","0.0"
"   ACM","249 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","","",""
"   Controls","0 (0.0)","8012 (100.0)","0 (0.0)","0 (0.0)","","",""
"   DCM","0 (0.0)","0 (0.0)","740 (100.0)","0 (0.0)","","",""
"   HCM","0 (0.0)","0 (0.0)","0 (0.0)","1014 (100.0)","","",""
